event_id,user_id,ts,event_type,paywall_type,converted,price
e_fb97960ea2a84bad,bob,2024-01-01 13:54:00,contentViewed_sleep,,,
e_e56d2450fe91479d,bob,2024-01-01 23:30:00,habitDone,,,
e_1365dba5d9cc456f,u_46de3f883e57,2024-01-02 00:24:00,contentViewed_bible,,,
e_9ae3195953ac4495,u_0e2c8347e362,2024-01-02 01:34:00,appOpen,,,
e_cd515b7dfac940ee,u_0e2c8347e362,2024-01-02 05:15:00,contentViewed_anxiety,,,
e_f1b70f2d0d14403a,u_46de3f883e57,2024-01-02 06:26:00,appOpen,,,
e_7aadb579ee274a16,u_bfabd8a9efaf,2024-01-02 22:37:00,appOpen,,,
e_9688e351c2154906,bob,2024-01-02 23:15:00,contentViewed_sleep,,,
e_0517bfe7b31349ca,u_f402bcd61840,2024-01-02 23:18:00,habitDone,,,
e_b403c2ebcbbd4e9e,u_2f2dd8dea4f7,2024-01-03 00:50:00,habitDone,,,
e_16568391c8d64bf4,u_46de3f883e57,2024-01-03 00:59:00,contentViewed_bible,,,
e_d7ecc08648eb4126,u_46de3f883e57,2024-01-03 01:38:00,habitDone,,,
e_2f0fe121505b41c7,u_2f2dd8dea4f7,2024-01-03 07:18:00,habitDone,,,
e_dcefba07fcbf4554,u_b9e45bc4c0d4,2024-01-03 07:50:00,appOpen,,,
e_615722f085c74e31,u_5ee63c29655c,2024-01-03 11:23:00,contentViewed_other,,,
e_77d69016b6fa4aba,u_bdab3ea54bac,2024-01-03 13:02:00,paywallShown,generic,False,
e_e97afe1e64a748f6,u_46de3f883e57,2024-01-03 16:23:00,paywallShown,biblestudy,True,
e_ee9751882ed14e0d,u_46de3f883e57,2024-01-03 16:48:00,purchaseCompleted,biblestudy,,59.99
e_02b81abdeddf434e,u_d6c803c66f18,2024-01-03 19:40:00,contentViewed_bible,,,
e_fed6400099ba4b67,u_d48c3bfba593,2024-01-03 21:10:00,appOpen,,,
e_f1fe6a23f3de48fe,u_0e2c8347e362,2024-01-03 21:17:00,paywallShown,anxiety,False,
e_7ae23c5c55b24218,u_bfabd8a9efaf,2024-01-04 00:15:00,habitDone,,,
e_7bc374f6ac45427e,u_85df44f07df6,2024-01-04 01:50:00,habitDone,,,
e_2baf78ab5dd64e47,u_2f2dd8dea4f7,2024-01-04 02:05:00,contentViewed_other,,,
e_6eb1c69685f94401,u_d655fb3b1f9d,2024-01-04 02:08:00,contentViewed_anxiety,,,
